"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"10 Jan 2019";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"WALLIX";"FR0010131409";"ALLIX";"Euronext Growth Paris";"EUR";"15.25";"16.40";"14.05";"16.10";"10/01/2019 17:27";"CET";"25120";"380501.05"
"WAREHOUSES";"BE0003734481";"WEB";"Euronext Brussels";"EUR";"51.00";"51.00";"51.00";"51.00";"10/01/2019 09:00";"CET";"1000";"51000.00"
"WAVESTONE";"FR0013357621";"WAVE";"Euronext Paris";"EUR";"28.10";"28.85";"27.10";"27.10";"10/01/2019 17:35";"CET";"15683";"435011.45"
"WDP";"BE0003763779";"WDP";"Euronext Brussels, Amsterdam";"EUR";"115.00";"116.40";"115.00";"115.40";"10/01/2019 17:35";"CET";"40347";"4665443.20"
"WE.CONNECT";"FR0013079092";"ALWEC";"Euronext Growth Paris";"EUR";"11.90";"12.80";"11.30";"12.80";"10/01/2019 17:17";"CET";"6397";"76599.70"
"WEACCESS GROUP";"FR0010688465";"MLWEA";"Euronext Access Paris";"EUR";"4.70";"5.00";"4.70";"5.00";"03/01/2019 16:30";"CET";"351";"1650.00"
"WEBORAMA";"FR0010337444";"ALWEB";"Euronext Growth Paris";"EUR";"7.35";"7.35";"7.35";"7.35";"10/01/2019 09:00";"CET";"1";"7.35"
"WEDIA";"FR0010688440";"ALWED";"Euronext Growth Paris";"EUR";"23.60";"24.50";"23.60";"24.20";"10/01/2019 17:19";"CET";"329";"7985.10"
"WENDEL";"FR0000121204";"MF";"Euronext Paris";"EUR";"108.10";"109.30";"107.50";"108.90";"10/01/2019 17:35";"CET";"37585";"4083375.60"
"WERELDHAVE";"NL0000289213";"WHA";"Euronext Amsterdam";"EUR";"27.80";"28.00";"27.52";"27.84";"10/01/2019 17:35";"CET";"152550";"4247882.46"
"WERELDHAVE BELGIUM";"BE0003724383";"WEHB";"Euronext Brussels";"EUR";"82.40";"82.60";"81.40";"81.60";"10/01/2019 17:35";"CET";"2509";"206486.40"
"WESSANEN";"NL0000395317";"WES";"Euronext Amsterdam";"EUR";"8.91";"9.03";"8.58";"8.67";"10/01/2019 17:35";"CET";"201492";"1765000.425"
"WEYA";"FR0010768770";"MLWEY";"Euronext Access Paris";"EUR";"2.34";"2.34";"2.34";"2.34";"08/01/2019 16:30";"CET";"5";"11.70"
"WITBE";"FR0013143872";"ALWIT";"Euronext Growth Paris";"EUR";"4.93";"5.04";"4.60";"5.04";"10/01/2019 17:28";"CET";"3930";"19377.06"
"WOL. EXTENS. CERT";"BE0003600112";"WOLE";"Euronext Brussels";"EUR";"80.11";"80.11";"80.11";"80.11";"02/01/2019 11:30";"CET";"8";"640.88"
"WOL. SHOPPING CERT";"BE0003571792";"WOLS";"Euronext Brussels";"EUR";"175.10";"175.10";"175.10";"175.10";"10/01/2019 16:37";"CET";"29";"5077.90"
"WOLTERS KLUWER";"NL0000395903";"WKL";"Euronext Amsterdam";"EUR";"52.26";"52.58";"51.94";"52.58";"10/01/2019 17:39";"CET";"528369";"27695059.44"
"WORDLINE NV19";"FR0013384666";"WLNNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"WORLDLINE";"FR0011981968";"WLN";"Euronext Paris";"EUR";"42.82";"42.82";"41.50";"41.90";"10/01/2019 17:37";"CET";"77574";"3251429.56"
"X-FAB";"BE0974310428";"XFAB";"Euronext Paris";"EUR";"4.95";"4.95";"4.725";"4.795";"10/01/2019 17:35";"CET";"57021";"274867.085"
"XILAM ANIMATION";"FR0004034072";"XIL";"Euronext Paris";"EUR";"45.15";"46.35";"44.00";"46.00";"10/01/2019 17:39";"CET";"10613";"482691.85"
"XIOR";"BE0974288202";"XIOR";"Euronext Brussels";"EUR";"39.30";"39.40";"39.00";"39.00";"10/01/2019 17:37";"CET";"5845";"229037.30"
"XPO LOGISTICS";"FR0000052870";"XPO";"Euronext Paris";"EUR";"314.00";"316.00";"310.00";"316.00";"09/01/2019 16:18";"CET";"25";"7840.00"
"YATRA";"JE00B1FBT077";"YATRA";"Euronext Amsterdam";"EUR";"3.46";"3.46";"3.46";"3.46";"04/01/2019 15:14";"CET";"23";"79.58"
"YMAGIS";"FR0011471291";"MAGIS";"Euronext Paris";"EUR";"1.98";"2.65";"1.865";"2.54";"10/01/2019 17:35";"CET";"165354";"350019.79"
"ZCCM";"ZM0000000037";"MLZAM";"Euronext Access Paris";"EUR";"0.845";"0.845";"0.845";"0.845";"10/01/2019 11:30";"CET";"16500";"13942.50"
"ZCI LIMITED";"BMG9887P1068";"CV";"Euronext Paris";"EUR";"0.17";"0.20";"0.17";"0.20";"04/08/2015 16:20";"CET";"21826";"3755.94"
"ZENITEL";"BE0974311434";"ZENT";"Euronext Brussels";"EUR";"13.30";"13.30";"13.30";"13.30";"10/01/2019 16:30";"CET";"340";"4522.00"
"ZENOBE GRAMME CERT";"BE0003809267";"ZEN";"Euronext Brussels";"EUR";"158.00";"158.00";"158.00";"158.00";"10/01/2019 16:30";"CET";"15";"2370.00"
